source_type,id,context_screen,english,hungarian,needs_review
ui_string,app.title,interface,English with Marta,Angol Martával,yes
ui_string,app.subtitle,interface,Learning English to connect with the people I love,"Angolul tanulni, hogy beszélhessek a szeretteimmel",yes
ui_string,nav.home,interface,Home,Kezdőlap,yes
ui_string,nav.lessons,interface,Lessons,Leckék,yes
ui_string,nav.conversations,interface,Conversations,Beszélgetések,yes
ui_string,nav.practice,interface,Practice,Gyakorlás,yes
ui_string,nav.settings,interface,Settings,Beállítások,yes
ui_string,nav.help,interface,Help,Segítség,yes
ui_string,nav.back,interface,Back,Vissza,yes
ui_string,nav.reference,interface,Word list,Szólista,yes
ui_string,ref.title,interface,Word list & grammar,Szólista és nyelvtan,yes
ui_string,ref.intro,interface,"Everything you have learned, in one place.","Minden, amit tanultál, egy helyen.",yes
ui_string,ref.vocab,interface,Vocabulary,Szókincs,yes
ui_string,ref.grammar,interface,Grammar,Nyelvtan,yes
ui_string,ref.chunks,interface,Useful phrases,Hasznos kifejezések,yes
ui_string,ref.words,interface,words,szó,yes
ui_string,ref.showhu,interface,Show Hungarian,Magyar megjelenítése,yes
ui_string,ref.count,interface,items,elem,yes
ui_string,home.welcome,interface,"Welcome back, Marta","Üdv újra, Marta",yes
ui_string,home.continue,interface,Continue learning,Folytatom a tanulást,yes
ui_string,home.recommended,interface,Recommended for you,Neked ajánljuk,yes
ui_string,home.start,interface,Start,Kezdés,yes
ui_string,home.progress,interface,Your progress,A haladásod,yes
ui_string,home.conversations,interface,Talk to your family,Beszélj a családoddal,yes
ui_string,home.monthly,interface,Monthly lessons,Havi leckék,yes
ui_string,home.monthly.note,interface,New monthly lessons can be added here later.,Ide később új havi leckék kerülhetnek.,yes
ui_string,home.today,interface,Your next step,A következő lépésed,yes
ui_string,home.warmup,interface,Warm up: {n} words,Bemelegítés: {n} szó,yes
ui_string,home.browse,interface,Browse all lessons,Összes lecke,yes
ui_string,lesson.next.practise,interface,Practise these words,Gyakorold ezeket a szavakat,yes
ui_string,lesson.next.talk,interface,Try a conversation,Próbálj egy beszélgetést,yes
ui_string,conv.open.title,interface,Open conversations,Szabad beszélgetések,yes
ui_string,btn.next,interface,Next,Tovább,yes
ui_string,btn.check,interface,Check,Ellenőrzés,yes
ui_string,btn.continue,interface,Continue,Folytatás,yes
ui_string,btn.tryagain,interface,Try again,Próbáld újra,yes
ui_string,btn.listen,interface,Listen,Meghallgatás,yes
ui_string,btn.listen.slow,interface,Listen slowly,Lassan meghallgatás,yes
ui_string,btn.record,interface,Record,Felvétel,yes
ui_string,btn.stop,interface,Stop,Állj,yes
ui_string,btn.play,interface,Play my voice,A hangom lejátszása,yes
ui_string,btn.skip,interface,Skip,Kihagyás,yes
ui_string,btn.done,interface,Done,Kész,yes
ui_string,btn.showhelp,interface,Magyar segítség,Magyar segítség,yes
ui_string,btn.hidehelp,interface,Hide help,Segítség elrejtése,yes
ui_string,btn.finish,interface,Finish lesson,Lecke befejezése,yes
ui_string,btn.hint,interface,Hint,Segítség,yes
ui_string,btn.model,interface,Show a good answer,Mutass egy jó választ,yes
ui_string,lesson.new,interface,New words,Új szavak,yes
ui_string,lesson.review,interface,Review,Ismétlés,yes
ui_string,lesson.grammar,interface,Grammar,Nyelvtan,yes
ui_string,lesson.pron,interface,Sounds,Hangok,yes
ui_string,lesson.complete,interface,Lesson complete,Lecke kész,yes
ui_string,lesson.complete.msg,interface,"Well done, Marta. You practised English today.","Szép munka, Marta. Ma jól gyakoroltál.",yes
ui_string,act.intro.prompt,interface,"Look, listen and learn these words.","Nézd, hallgasd és tanuld meg ezeket a szavakat.",yes
ui_string,act.listenchoose.prompt,interface,Listen and choose the word you hear.,"Hallgasd meg, és válaszd ki a hallott szót.",yes
ui_string,act.match.prompt,interface,Match the English word to its meaning.,Párosítsd az angol szót a jelentésével.,yes
ui_string,act.phrasematch.prompt,interface,Match the phrase to the situation.,Párosítsd a mondatot a helyzethez.,yes
ui_string,act.typed.prompt,interface,Type the English word.,Írd be az angol szót.,yes
ui_string,act.spelling.prompt,interface,Build the word.,Építsd fel a szót.,yes
ui_string,act.pron.prompt,interface,"Listen, then record yourself. Compare — no score, just practice.","Hallgasd meg, majd vedd fel magad. Hasonlítsd össze — nincs pontszám, csak gyakorlás.",yes
ui_string,act.review.prompt,interface,A gentle review of words you have seen.,A már látott szavak nyugodt ismétlése.,yes
ui_string,act.iconchoice.prompt,interface,Which word is this? Choose the English word.,Melyik szó ez? Válaszd ki az angol szót.,yes
ui_string,act.minimalpair.prompt,interface,Listen carefully. These words sound similar.,Figyelj jól. Ezek a szavak hasonlóan hangzanak.,yes
ui_string,act.minimalpair.which,interface,Which word did you hear?,Melyik szót hallottad?,yes
ui_string,act.reorder.prompt,interface,Put the words in the right order.,Rakd a szavakat a helyes sorrendbe.,yes
ui_string,act.gapfill.prompt,interface,Choose the missing word.,Válaszd ki a hiányzó szót.,yes
ui_string,act.expand.prompt,interface,"Grow your answer, one step at a time.","Bővítsd a válaszodat, lépésről lépésre.",yes
ui_string,act.expand.more,interface,Add more,Tegyél hozzá,yes
ui_string,act.odd.prompt,interface,Which word is different? Choose the one that does not belong.,"Melyik szó a kakukktojás? Válaszd ki, amelyik nem illik a többihez.",yes
ui_string,act.listencomp.prompt,interface,"Listen to the message, then answer.","Hallgasd meg az üzenetet, majd válaszolj.",yes
ui_string,act.listencomp.again,interface,Play again,Játszd le újra,yes
ui_string,act.grammar.check,interface,Quick check,Gyors ellenőrzés,yes
ui_string,act.sayit.prompt,interface,Now say it out loud. Record yourself and listen back.,"Most mondd ki hangosan. Vedd fel magad, és hallgasd vissza.",yes
ui_string,act.wordfill.prompt,interface,Type the missing word.,Írd be a hiányzó szót.,yes
ui_string,act.wordfill.tap,interface,Show word choices,Mutasd a szóválasztékot,yes
ui_string,act.wordfill.type,interface,I'll type it,Inkább beírom,yes
ui_string,act.wordfill.reveal,interface,Show the answer,Mutasd a választ,yes
ui_string,act.wordfill.copy,interface,Type the word to continue.,Írd be a szót a folytatáshoz.,yes
ui_string,act.grtype.prompt,interface,Type the correct form.,Írd be a helyes alakot.,yes
